mexican_concentration,cos_fatigue,texian_casualties_mean,texian_casualties_std,texian_casualties_min,texian_casualties_max,mexican_casualties_mean,mexican_casualties_std,mexican_casualties_min,mexican_casualties_max,mexican_captured_mean,mexican_captured_std,mexican_captured_min,mexican_captured_max,cos_remaining_mean,cos_remaining_std,cos_remaining_min,cos_remaining_max,battle_duration_minutes_mean,battle_duration_minutes_std,battle_duration_minutes_min,battle_duration_minutes_max,texian_side_morale_mean,texian_side_morale_std,texian_side_morale_min,texian_side_morale_max,mexican_side_morale_mean,mexican_side_morale_std,mexican_side_morale_min,mexican_side_morale_max,texian_win_rate,runs
10,40,37.333333333333336,11.930353445448853,24.0,47.0,479.6666666666667,34.53018003621373,440.0,503.0,722.6666666666666,35.10460558578223,699.0,763.0,42.333333333333336,0.5773502691896247,42.0,43.0,22.099999999999998,0.2645751311064593,21.9,22.4,91.35031641849342,0.9413946919087421,90.2641738217135,91.93139640732493,0.0,0.0,0.0,0.0,1.0,3
10,50,33.333333333333336,16.010413278030438,17.0,49.0,486.0,12.165525060596439,472.0,494.0,715.3333333333334,11.930353445448864,707.0,729.0,44.333333333333336,2.309401076758502,43.0,47.0,22.96666666666667,1.0503967504392495,21.9,24.0,91.63968619742253,0.8120702809105044,90.72673023274128,92.28147930610946,0.0,0.0,0.0,0.0,1.0,3
10,60,23.666666666666668,15.821925715074425,10.0,41.0,412.0,43.40506882842141,384.0,462.0,790.0,43.347433603386484,740.0,817.0,40.666666666666664,2.0816659994661335,39.0,43.0,22.2,0.8000000000000016,21.4,23.0,90.89659677312348,0.9392219881954696,90.19301694634258,91.9631380514095,0.0,0.0,0.0,0.0,1.0,3
10,70,26.666666666666668,1.1547005383792517,26.0,28.0,472.0,19.924858845171276,449.0,484.0,729.6666666666666,19.34769581457526,718.0,752.0,41.666666666666664,2.0816659994661335,40.0,44.0,22.733333333333334,0.11547005383792475,22.6,22.8,91.31311835207937,0.925720925630678,90.2863265521212,92.08387233295842,0.0,0.0,0.0,0.0,1.0,3
10,80,33.666666666666664,10.016652800877813,26.0,45.0,498.3333333333333,25.73583752927683,482.0,528.0,703.0,26.057628441590765,673.0,720.0,45.333333333333336,1.5275252316519456,44.0,47.0,20.566666666666666,0.1527525231651953,20.4,20.7,88.82008597472964,1.0622505212264473,87.68856764606436,89.79587669122229,0.0,0.0,0.0,0.0,1.0,3
10,90,30.333333333333332,29.022979401386987,5.0,62.0,480.6666666666667,17.785762095938793,465.0,500.0,721.0,18.33030277982336,701.0,737.0,44.666666666666664,1.5275252316519468,43.0,46.0,20.400000000000002,0.8717797887081359,19.4,21.0,89.83011482524165,1.7964777202163695,87.82405215378391,91.29043886577968,0.0,0.0,0.0,0.0,1.0,3
10,100,33.666666666666664,2.0816659994661326,32.0,36.0,471.3333333333333,16.56301099840645,454.0,487.0,729.6666666666666,16.563010998406472,714.0,747.0,46.333333333333336,2.0816659994661326,44.0,48.0,20.766666666666666,0.3511884584284261,20.4,21.1,89.15329684547866,0.5913195208517898,88.47341469152526,89.54781784818043,0.0,0.0,0.0,0.0,1.0,3
20,0,280.6666666666667,160.95133840180807,176.0,466.0,924.0,33.28663395418648,900.0,962.0,277.3333333333333,33.50124375800597,239.0,301.0,38.0,4.58257569495584,33.0,42.0,21.633333333333336,1.357694123627753,20.8,23.2,92.93720165844515,1.5530417996657302,91.9943188242863,94.72969106946552,0.0,0.0,0.0,0.0,1.0,3
20,10,188.33333333333334,33.26158945891391,163.0,226.0,836.6666666666666,36.74688195389283,813.0,879.0,365.0,36.49657518178932,323.0,389.0,39.666666666666664,3.0550504633038944,37.0,43.0,21.833333333333332,0.4725815626252615,21.3,22.2,92.56492799708978,0.6126862583550468,91.9548250088077,93.18016525644911,0.0,0.0,0.0,0.0,1.0,3
20,20,225.66666666666666,22.18858565419016,201.0,244.0,794.6666666666666,44.286943147313,744.0,826.0,406.6666666666667,43.93555887129847,376.0,457.0,43.0,3.0,40.0,46.0,23.066666666666666,1.3613718571108095,22.0,24.6,93.84539961146977,0.42035721881904736,93.37017494875238,94.16857672163458,0.0,0.0,0.0,0.0,1.0,3
20,30,156.33333333333334,57.50072463311514,115.0,222.0,716.6666666666666,58.071794645364044,657.0,773.0,486.3333333333333,58.534889880594584,429.0,546.0,42.0,2.6457513110645907,39.0,44.0,22.766666666666666,0.1527525231651916,22.6,22.9,92.17315823277391,0.6351312627889174,91.44661286639626,92.62297913326512,0.0,0.0,0.0,0.0,1.0,3
20,40,130.33333333333334,17.616280348965088,114.0,149.0,649.3333333333334,23.965252624024927,635.0,677.0,551.6666666666666,23.965252624024927,524.0,566.0,46.0,1.0,45.0,47.0,23.066666666666666,0.6506407098647725,22.4,23.7,93.45526357927876,0.8730419706923199,92.55863066082853,94.302628080416,0.0,0.0,0.0,0.0,1.0,3
20,50,108.33333333333333,46.54388610046795,79.0,162.0,595.6666666666666,44.95924080023299,557.0,645.0,605.6666666666666,45.08140784551134,556.0,644.0,45.333333333333336,1.5275252316519456,44.0,47.0,23.099999999999998,0.3605551275463991,22.8,23.5,92.87392375250893,0.7711282907131308,92.19716443959838,93.71343858536852,0.0,0.0,0.0,0.0,1.0,3
20,60,72.66666666666667,33.605555096342826,36.0,102.0,529.3333333333334,18.14754345175494,516.0,550.0,672.0,17.578395831246947,652.0,685.0,42.666666666666664,1.154700538379251,42.0,44.0,23.3,0.43588989435406705,23.0,23.8,92.15388403422078,1.0892100840319536,91.13984095896076,93.30523940480914,0.0,0.0,0.0,0.0,1.0,3
