run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration_minutes,texian_side_morale,mexican_side_morale,texian_win
2,50,20,720.0,1046.0,161.0,40.0,32.3,95.09482626751355,8.775728161484645,True
3,50,20,812.0,1091.0,112.0,32.0,45.8,99.68716745206343,0.0,True
1,20,60,36.0,522.0,679.0,44.0,23.1,92.01657173889248,0.0,True
2,20,60,102.0,550.0,652.0,42.0,23.8,93.30523940480914,0.0,True
3,20,60,80.0,516.0,685.0,42.0,23.0,91.13984095896076,0.0,True
1,60,40,837.0,677.0,48.0,301.0,38.2,93.36371619160496,68.90781665153479,False
2,60,40,755.0,1019.0,183.0,39.0,32.4,92.39308162418192,8.869858302048966,True
3,60,40,836.0,317.0,22.0,439.0,23.0,71.82501873134956,68.94565593352476,False
1,70,100,685.0,702.0,500.0,38.0,31.0,99.96568,0.0,True
2,70,100,498.0,765.0,436.0,49.0,27.8,98.65602387629912,0.0,True
3,70,100,588.0,754.0,447.0,49.0,28.4,98.40023325924632,0.0,True
1,60,100,460.0,749.0,454.0,47.0,27.1,96.66693068199142,0.0,True
2,60,100,395.0,746.0,455.0,49.0,26.9,98.38089987889369,0.0,True
3,60,100,402.0,731.0,472.0,47.0,26.4,98.07921012499035,0.0,True
1,70,90,639.0,775.0,426.0,49.0,28.5,98.07082684045704,0.0,True
2,70,90,449.0,791.0,410.0,49.0,28.2,98.67195005181298,0.0,True
3,70,90,504.0,795.0,407.0,48.0,28.7,97.83609978804844,0.0,True
1,0,90,3.0,394.0,807.0,43.0,20.2,87.5383575056267,0.0,True
2,0,90,2.0,363.0,839.0,43.0,19.9,85.83762547721967,0.0,True
3,0,90,0.0,375.0,826.0,46.0,20.2,86.86549903412192,0.0,True
1,90,10,845.0,121.0,0.0,492.0,22.1,78.20757968661277,96.01933117412052,False
2,90,10,841.0,103.0,1.0,496.0,21.8,73.63539044819771,96.607805478634,False
3,90,10,840.0,264.0,0.0,483.0,27.4,85.95201997904542,99.00088916092322,False
1,60,80,474.0,810.0,391.0,49.0,27.6,98.19295849078576,0.0,True
2,60,80,469.0,795.0,407.0,48.0,28.2,98.1889923008774,0.0,True
3,60,80,384.0,790.0,412.0,48.0,27.1,98.1071742445168,0.0,True
1,60,90,570.0,760.0,441.0,49.0,26.8,94.7094256851098,0.0,True
2,60,90,515.0,766.0,436.0,48.0,27.9,98.46423713492504,0.0,True
3,60,90,422.0,759.0,442.0,48.0,27.8,97.42206387993474,0.0,True
1,80,10,836.0,174.0,7.0,483.0,22.1,75.5718168394368,95.0425538449214,False
2,80,10,840.0,192.0,6.0,490.0,22.0,74.28449035463198,94.21198989889008,False
3,80,10,836.0,251.0,5.0,492.0,22.7,70.85689581430393,96.82573313327168,False
1,0,80,7.0,359.0,842.0,44.0,20.1,87.87899521097806,0.0,True
2,0,80,1.0,391.0,810.0,40.0,20.4,87.93187479483112,0.0,True
3,0,80,2.0,399.0,802.0,46.0,20.6,86.62418951459462,0.0,True
1,70,80,652.0,815.0,388.0,47.0,33.0,99.02558194066796,0.0,True
2,70,80,724.0,874.0,327.0,49.0,29.8,99.25501953374676,0.0,True
3,70,80,540.0,850.0,351.0,49.0,28.6,97.83179635932576,0.0,True
1,60,50,836.0,633.0,68.0,289.0,34.5,93.49600818774152,65.47271242138872,False
2,60,50,819.0,952.0,249.0,32.0,34.7,95.70791623979753,2.902277571549509,True
3,60,50,742.0,1000.0,202.0,48.0,31.3,97.478777863047,0.7710959797480529,True
1,10,10,89.0,694.0,508.0,43.0,21.3,91.39611985745933,0.0,True
2,10,10,79.0,609.0,594.0,39.0,22.0,91.66142026631252,0.0,True
3,10,10,81.0,661.0,541.0,37.0,22.1,92.88463834437896,0.0,True
1,20,0,466.0,962.0,239.0,33.0,23.2,94.72969106946552,0.0,True
2,20,0,200.0,910.0,292.0,39.0,20.8,91.9943188242863,0.0,True
3,20,0,176.0,900.0,301.0,42.0,20.9,92.08759508158364,0.0,True
1,20,70,127.0,574.0,627.0,47.0,23.5,92.69582007082084,0.0,True
2,20,70,67.0,531.0,671.0,46.0,22.3,92.3283560122062,0.0,True
3,20,70,113.0,565.0,636.0,43.0,22.5,93.79464079915677,0.0,True
1,50,30,705.0,1026.0,180.0,44.0,32.2,98.11667763156623,9.772734786562692,True
2,50,30,835.0,924.0,278.0,36.0,40.8,92.97647263461111,3.094687500000235,True
3,50,30,677.0,1046.0,155.0,45.0,29.1,95.49810062766112,0.0,True
1,100,20,844.0,104.0,0.0,499.0,22.1,75.65064334502073,97.59150692936524,False
2,100,20,843.0,57.0,0.0,499.0,21.9,75.82526045264666,98.0563665599924,False
3,100,20,844.0,56.0,0.0,492.0,21.7,77.1379948080171,97.5909719694214,False
1,30,60,275.0,700.0,501.0,46.0,25.9,96.6031647046047,0.0,True
2,30,60,124.0,681.0,520.0,49.0,24.0,93.75399669258393,0.0,True
3,30,60,237.0,672.0,531.0,47.0,26.6,96.05811941749052,0.0,True
1,0,40,14.0,465.0,737.0,45.0,20.8,88.2777647211933,0.0,True
2,0,40,2.0,403.0,798.0,47.0,19.6,85.7139242766449,0.0,True
3,0,40,1.0,417.0,784.0,45.0,19.8,86.6858184469127,0.0,True
1,40,20,451.0,964.0,237.0,48.0,28.8,95.9036205344154,0.0,True
2,40,20,680.0,1006.0,195.0,43.0,32.3,95.81591438895298,4.959996089487849,True
3,40,20,682.0,928.0,275.0,35.0,32.8,96.18368940864548,9.822054372088443,True
1,70,40,836.0,495.0,40.0,389.0,31.8,89.83417064613498,85.85536038644925,False
2,70,40,838.0,532.0,30.0,451.0,28.2,92.01731526438763,85.1757579915006,False
3,70,40,836.0,291.0,35.0,407.0,24.0,79.15298098073967,82.5434219737549,False
1,30,100,295.0,667.0,535.0,47.0,25.3,95.62589524483268,0.0,True
2,30,100,192.0,628.0,576.0,45.0,24.5,94.68969498542664,0.0,True
3,30,100,152.0,632.0,571.0,46.0,24.2,94.77102785052143,0.0,True
1,20,100,22.0,572.0,629.0,48.0,21.8,91.71585233493607,0.0,True
2,20,100,50.0,526.0,675.0,47.0,22.7,92.50595611206076,0.0,True
3,20,100,125.0,570.0,631.0,46.0,23.1,93.49875768220168,0.0,True
1,60,60,547.0,904.0,297.0,44.0,28.9,96.62536088945508,0.0,True
2,60,60,789.0,904.0,297.0,35.0,32.8,98.25738974716,3.824083311164177,True
3,60,60,703.0,911.0,297.0,14.0,34.9,98.52479907868414,46.90405297492567,True
1,10,20,64.0,625.0,576.0,46.0,22.4,92.23293883954638,0.0,True
2,10,20,68.0,588.0,613.0,43.0,21.6,90.5528852305687,0.0,True
3,10,20,125.0,719.0,485.0,38.0,23.1,94.4888348456587,0.0,True
1,70,0,836.0,344.0,29.0,477.0,28.4,87.15397708041432,97.58396655813006,False
2,70,0,839.0,221.0,31.0,486.0,23.1,72.06706248493023,92.18224576864458,False
3,70,0,836.0,341.0,13.0,469.0,26.9,90.47599522750563,95.74657814064956,False
1,20,40,149.0,677.0,524.0,46.0,22.4,94.302628080416,0.0,True
2,20,40,128.0,636.0,565.0,47.0,23.7,92.55863066082853,0.0,True
3,20,40,114.0,635.0,566.0,45.0,23.1,93.50453199659174,0.0,True
1,100,10,838.0,195.0,0.0,499.0,22.2,77.38867707980704,99.22276437034682,False
2,100,10,836.0,194.0,0.0,497.0,30.5,95.39190071776515,99.28892986096676,False
3,100,10,838.0,105.0,0.0,498.0,21.8,76.16469163034387,98.2667948838163,False
1,30,50,63.0,669.0,533.0,46.0,22.5,93.64059449241324,0.0,True
2,30,50,211.0,696.0,505.0,43.0,24.7,93.22922522305404,0.0,True
3,30,50,159.0,696.0,505.0,47.0,24.4,94.03110917516972,0.0,True
1,0,70,3.0,397.0,806.0,42.0,20.2,87.63395713087804,0.0,True
2,0,70,0.0,344.0,857.0,43.0,19.7,87.16079719203499,0.0,True
3,0,70,0.0,418.0,783.0,46.0,19.0,86.66856102709849,0.0,True
1,40,10,675.0,1043.0,167.0,25.0,34.3,97.3575034720989,1.7052971843835958,True
2,40,10,634.0,982.0,223.0,43.0,32.6,96.83173137623632,19.00567953507092,True
3,40,10,698.0,1018.0,183.0,28.0,31.2,96.3602356788596,20.079168322264923,True
1,70,70,742.0,949.0,253.0,46.0,30.0,96.96649826206662,0.0,True
2,70,70,633.0,909.0,292.0,48.0,29.7,97.80924404599706,0.0,True
3,70,70,764.0,859.0,344.0,25.0,34.0,99.61242063608516,23.119237966400668,True
1,20,80,68.0,517.0,684.0,43.0,23.1,93.66217396956304,0.0,True
2,20,80,23.0,523.0,678.0,45.0,22.0,92.515290541755,0.0,True
3,20,80,100.0,570.0,632.0,47.0,22.5,92.76449848178218,0.0,True
1,90,100,841.0,427.0,4.0,423.0,22.7,78.87106908732692,46.6769012092948,False
2,90,100,836.0,533.0,22.0,421.0,28.4,96.70167721064767,40.77067840328095,False
3,90,100,839.0,528.0,21.0,428.0,23.5,85.20076419246875,36.98849444520101,False
1,80,100,819.0,734.0,467.0,22.0,36.8,99.1403595772013,0.6755102040816184,True
2,80,100,836.0,798.0,403.0,49.0,37.3,99.96303030303032,0.0,True
3,80,100,814.0,767.0,434.0,36.0,41.6,100.0,0.0,True
1,80,20,841.0,125.0,3.0,492.0,21.6,75.00850183406236,93.0439523116522,False
2,80,20,839.0,149.0,2.0,481.0,22.2,75.7091276074006,89.77254697075007,False
3,80,20,838.0,274.0,11.0,493.0,25.7,87.57268578684447,94.18115810661207,False
1,30,90,178.0,615.0,587.0,47.0,23.9,94.21005566640385,0.0,True
2,30,90,205.0,649.0,553.0,47.0,24.3,96.31112469013424,0.0,True
